run_id,Acidobacteria,Actinobacteria,Bacteroidetes,Candidatus_Cloacimonetes,Candidatus_Melainabacteria,Chlamydiae,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unassigned,Verrucomicrobia,phenotype
SRR6028164,0,0.058540373,0.116614907,0,0,0.001242236,0,0.000232919,0,0.000465839,0.706909938,0.000543478,7.76E-05,0,0.000465839,0,0.008695652,0,0,0.000543478,0.10318323,0.002406832,0
SRR6028165,0.000165467,0.019152809,0.06966162,0,0,0,8.27E-05,8.27E-05,0,0.001075536,0.804004302,0.000785968,0.000165467,0.000165467,0,0,0.00612228,0.0001241,8.27E-05,0.001199636,0.080913378,0.016174402,0
SRR6028170,0.000356189,0.011219947,0.168121104,0,0,0,0,0.003086969,0.001721579,0.001009202,0.65681211,0.000178094,5.94E-05,0,0.000237459,0.000712378,0.054496883,5.94E-05,0,0.01893737,0.078420896,0.004571089,0
SRR6028174,0.000296135,0.028527713,0.164552589,0,0,0,0.000148068,0.000148068,4.94E-05,0.001184542,0.650362766,0.00024678,0,4.94E-05,9.87E-05,0.002467795,0.013029959,0,0,0.010315384,0.108040077,0.020482701,0
SRR6028175,7.12E-05,0.016804329,0.215536884,0,0,0,0.00014241,0,0,0.000498433,0.626103674,0.000427229,0.00014241,7.12E-05,7.12E-05,0,0.010395899,7.12E-05,0.00014241,0.00014241,0.126673312,0.002634577,0
SRR6028178,0.000460193,0.015876668,0.436723424,0,0.00138058,0,0,0.006212609,0,0.001840773,0.461803958,0,0.000460193,0,0,0.00069029,0.015876668,0.000460193,0,0.000460193,0.056603774,0.001150483,0
SRR6028191,0,0.081186528,0.227781284,0,0,0,0.000114751,0.000114751,0,0.000860635,0.599345918,0.000172127,0,0.000114751,0.000172127,0,0.011762006,5.74E-05,5.74E-05,0.004245797,0.070342533,0.003614665,0
SRR6028196,0,0.088676873,0.207529029,0,0,0,0,0.000147918,0,0,0.646401893,0.000591672,0.000295836,0,0,0,0.001848976,0,7.40E-05,0.000295836,0.05169736,0.002440648,0
SRR6028206,5.59E-05,0.027017956,0.163394306,5.59E-05,0,0,0.000111876,0.003468143,0,0.000391565,0.689601164,0.000111876,5.59E-05,0,0,0.005705655,0.021368239,0,5.59E-05,0.000950943,0.078480729,0.009061923,0
SRR6028210,8.73E-05,0.009034961,0.417266815,0,0,0,0,8.73E-05,0,0.000654707,0.428571429,4.36E-05,0,4.36E-05,0.000480119,0.001614945,0.01933569,0.000960237,0,0.033259133,0.051503645,0.036881847,0
